Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Dan Eubanks,House,25,Republican,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,96,A,Strong Supporter,192.5,Dan Eubanks supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Dan Eubanks,200,Yes,dan-eubanks,No
Lester Carpenter,House,1,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Lester Carpenter supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lester Carpenter,200,Yes,lester-carpenter,No
Brad Mattox,House,2,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Brad Mattox supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brad Mattox,160,Yes,brad-mattox,No
William Tracy Arnold,House,3,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,William Tracy Arnold supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,William Tracy Arnold,200,Yes,william-tracy-arnold,No
Jody Steverson,House,4,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,100,A,Strong Supporter,200,Jody Steverson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jody Steverson,200,Yes,jody-steverson,No
John Faulkner,House,5,Democrat,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,84,B,Supporter,167.5,John Faulkner has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,John Faulkner,200,Yes,john-faulkner,No
Justin Keen,House,6,Republican,N/A,N/A,SUPPORT,ABSENT,OPPOSE,ABSENT,ABSENT,ABSENT,SUPPORT,50,D,Weak / Inconsistent,80,Justin Keen has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Justin Keen,160,Yes,justin-keen,No
Kimberly Remak,House,7,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,160,Kimberly Remak supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kimberly Remak,160,Yes,kimberly-remak,No
"Trey Lamar, III",House,8,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,"Trey Lamar, III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.","Trey Lamar, III",200,Yes,trey-lamar-iii,No
Cedric Burnett,House,9,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,200,Cedric Burnett supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Cedric Burnett,200,Yes,cedric-burnett,No
